"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_c","most_recent_class_c_exceedance","number_of_samples_since_last_class_c_exceedance","has_there_been_multi_class_c_exceedance_in_3yr","when_was_last_period_with_multi_class_c_exceedance"
"ANACOSTIA LOWER","ARSENIC","DISSOLVED","","","52","40","2021","40","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA UPPER","ARSENIC","DISSOLVED","","","56","37","2019","44","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BROAD BRANCH","ARSENIC","DISSOLVED","","","13","13","2021","11","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","ARSENIC","DISSOLVED","","","13","13","2021","6","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FENWICK BRANCH","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","ARSENIC","DISSOLVED","","","19","16","2021","13","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","ARSENIC","DISSOLVED","","","20","16","2021","14","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","ARSENIC","DISSOLVED","","","1","1","2017","1","2017","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","ARSENIC","DISSOLVED","","","25","15","2019","21","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KLINGLE VALLEY","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","DISSOLVED","","","13","13","2021","6","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","ARSENIC","DISSOLVED","","","7","3","2019","6","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","ARSENIC","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","ARSENIC","DISSOLVED","","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","ARSENIC","DISSOLVED","","","1","1","2017","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
